0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
0.6569,0.6569,0.00213181,0.00226708,0.00391821,0.0033267,0.00290802,0.00257803,0.00359206,0.00482561,0.00285797,0.00343497,0.00275174,0.00280732,0.00287304,0.00353537,0.00368625,0.00277125,0.00405817,0.00286463,0.00385725,0.00172869,0.00305668,0.00354531,0.00434,0.00424608,0.00464339,0.00484006,0.0047949,0.00393495,0.00175075,0.00451952,0.0040153,0.00387964,0.00412119,0.00410946,0.00386866,0.00390155,0.0037063,0.00339826,0.00300201,0.00473069,0.00179082,0.00391469,0.00129819,0.000847055,0.00165297,0.0015326,0.00288906,0.00426563,0.00301345,0.00311813,0.00513441,0.00464793,0.00383032,0.0023712,0.00389023,0.00572789,0.00419777,0.00230488,0.00224837,0.00331322,0.00197887,0.00274211,0.0020221,0.00226994,0.00335398,0.00370093,0.00376198,0.00222756,0.00576853,0.00274746,0.00252432,0.000517292,0.000174597,0.00015419,0.000114286,0.000181051,0.000257831,8.23271E-05,0.000264637,7.41463E-05,0.000194332,7.70707E-05,0.000154266,8.11145E-05,7.24345E-05,0.000322871,0.000321208,8.37427E-05,0.000146667,4.44651E-05,4.80916E-05
0.545579,0.497101,0.459917,0.423178,0.38429,0.342591,0.30138,0.256256,0.201348,0.149327,0.102233,0.0759109,0.0742451,0.0733861,0.0717133,0.0709271,0.0696374,0.0667592,0.0661843,0.063952,0.0597577,0.0488898,0.0273743,0.0121343,0.00411699,0.00125112,0.0031838,0.00425776,0.00469517,0.0038836,0.00174232,0.00449868,0.00400506,0.00387364,0.00411733,0.00410734,0.00386399,0.00390597,0.00370452,0.00339383,0.00299833,0.00473,0.00179004,0.0039132,0.00129648,0.000847068,0.00165266,0.0015325,0.00288952,0.00426562,0.00301392,0.00311807,0.00513485,0.00464839,0.00383084,0.0023714,0.00389093,0.00572801,0.00419931,0.00230521,0.00224924,0.00331197,0.00197858,0.00274276,0.00202199,0.00227007,0.00335472,0.00370179,0.00376286,0.00222792,0.00576898,0.00274781,0.00252469,0.000518467,0.000174107,0.000153815,0.000113972,0.000181548,0.000257632,8.19508E-05,0.000264684,7.28182E-05,0.000194339,7.71489E-05,0.000153182,8.08705E-05,7.3703E-05,0.000322733,0.000320107,8.34111E-05,0.000146313,4.35263E-05,4.75682E-05
0.890903,0.880826,0.871166,0.860876,0.851892,0.842725,0.833015,0.823046,0.812992,0.803163,0.793058,0.782987,0.772531,0.762717,0.752155,0.742466,0.731881,0.721944,0.712186,0.701966,0.691658,0.681356,0.671808,0.662655,0.65262,0.641899,0.63131,0.621006,0.611131,0.601171,0.59098,0.580988,0.570913,0.560862,0.550933,0.541807,0.535761,0.537017,0.541105,0.544761,0.549016,0.552811,0.556552,0.561671,0.564718,0.570154,0.573874,0.547519,0.552029,0.545783,0.541372,0.542763,0.548635,0.553484,0.53646,0.53979,0.531733,0.52903,0.523499,0.540816,0.551405,0.552231,0.511472,0.487273,0.492034,0.470354,0.492199,0.498824,0.481258,0.494667,0.500464,0.504376,0.496295,0.498945,0.501645,0.503382,0.506106,0.508069,0.511287,0.513468,0.51562,0.518322,0.521411,0.523429,0.526416,0.528775,0.532444,0.534358,0.536275,0.537219,0.538208,0.538391,0.538098
1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.19975,1.19975,1.19975,1.19975,1.19975,1.19975,1.19975,1.19975,1.19975,1.19975,1.19975,1.19975,1.19975,1.19975,1.19975,1.19975,1.19975,1.19975,1.19975,1.19975,1.19975,1.19975,1.19975,1.19975,1.19975,1.19975,1.19929,1.19929,1.19929,1.19929,1.19929,1.19929,1.19929,1.19929,1.19929,1.19929,1.19929,1.19929,1.19929,1.19929,1.19929,1.19929,1.19929,1.19929,1.19929,1.19929,1.19929,1.19929,1.19929,1.19328,1.19328,1.19328,1.19328,1.19328,1.19328,1.19328,1.19328,1.19328,1.19328,1.19328,1.19328,1.19328,1.19328,1.19328,1.19328,1.19328,1.19328,1.19328,1.19328,1.19328,1.19328,1.19328,1.19328,1.19328,1.19328,1.19328,1.19328,1.19328,1.19328,1.19328,1.19328,1.19328,1.19328
1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.49958,1.49958,1.49958,1.49958,1.49958,1.49958,1.49958,1.49958,1.49958,1.49958,1.49958,1.49958,1.49958,1.49958,1.49958,1.49958,1.49958,1.49958,1.49958,1.49958,1.49958,1.49958,1.49958,1.49958,1.49958,1.49958,1.4991,1.4991,1.4991,1.4991,1.4991,1.4991,1.4991,1.4991,1.4991,1.4991,1.4991,1.4991,1.4991,1.4991,1.4991,1.4991,1.4991,1.4991,1.4991,1.4991,1.4991,1.4991,1.4991,1.4991,1.4991,1.4991,1.4991,1.4991,1.4991,1.4991,1.4991,1.4991,1.4991,1.4991,1.4991,1.4991,1.4991,1.4991,1.4991,1.4991,1.4991,1.4991,1.4991,1.4991,1.4991,1.4991,1.4991,1.4991,1.4991,1.4991,1.4991,1.4991,1.4991,1.4991,1.4991,1.4991,1.4991
